student_id,hours_studied,attendance_percent,sleep_hours,assignment_score,previous_scores,extracurricular,exam_score,performance_category
422,8.5,67.7,7.8,81.2,82.5,No,83.8,Distinction
423,4.5,81.6,6.1,53.9,61.6,Yes,65.0,Pass
424,6.9,71.6,5.5,73.6,64.3,No,58.5,Fail
425,6.3,94.3,,100.0,42.0,Yes,82.2,Distinction
426,7.7,61.7,4.1,56.2,72.7,Yes,67.7,Pass
427,3.1,73.3,9.0,32.0,73.6,Yes,63.2,Pass
428,6.4,84.5,5.2,65.7,64.1,Yes,59.5,Fail
429,7.1,98.8,6.2,86.5,81.9,No,71.8,Distinction
430,1.5,79.2,6.2,99.4,60.0,Yes,54.4,Fail
431,2.6,73.3,6.9,51.6,73.5,No,55.9,Fail
432,0.9,100.0,7.5,77.5,49.7,No,66.8,Pass
433,4.5,62.6,7.5,63.0,64.6,No,62.8,Pass
434,6.4,53.6,5.8,68.4,62.4,Yes,59.5,Fail
435,8.0,85.3,6.3,100.0,68.4,Yes,74.5,Distinction
436,5.1,74.0,6.8,47.5,59.5,No,67.0,Pass
437,8.3,67.7,6.2,73.8,63.0,Yes,66.9,Pass
438,2.2,88.5,8.4,77.0,77.4,Yes,71.5,Distinction
439,1.6,82.9,7.1,86.3,58.4,No,54.1,Fail
440,4.9,73.2,7.4,71.5,40.9,No,70.9,Distinction
441,5.8,64.6,7.3,74.6,91.2,No,71.8,Distinction
442,4.9,90.5,7.9,64.1,85.7,Yes,69.0,Pass
443,0.9,87.8,6.7,74.0,45.6,No,47.7,Fail
444,4.8,78.8,4.9,64.9,75.3,Yes,59.1,Fail
445,2.4,100.0,7.0,79.3,57.5,Yes,64.1,Pass
446,6.3,67.2,5.7,64.5,69.0,No,64.4,Pass
447,5.7,61.7,5.9,75.7,69.4,Yes,59.0,Fail
448,3.1,71.7,7.2,69.6,61.5,Yes,55.2,Fail
449,4.0,79.5,8.0,86.9,53.2,Yes,64.7,Pass
450,2.9,82.9,6.5,69.2,54.6,No,43.7,Fail
451,4.9,77.1,6.9,43.4,51.3,No,61.2,Pass
452,6.9,84.2,8.5,88.9,52.5,No,70.7,Distinction
453,3.0,65.0,6.8,56.4,64.0,No,44.9,Fail
454,6.0,97.3,9.0,60.2,54.3,Yes,63.2,Pass
455,3.9,79.0,7.2,61.1,75.2,No,50.1,Fail
456,3.4,93.4,4.4,90.6,87.3,Yes,56.0,Fail
457,4.8,84.1,7.4,38.0,56.3,Yes,56.0,Fail
458,2.9,85.5,7.0,100.0,68.6,No,75.6,Distinction
459,3.9,86.8,8.0,85.8,72.5,No,64.3,Pass
460,2.6,85.4,7.3,73.3,72.1,Yes,60.7,Pass
461,8.9,87.7,6.3,69.2,66.1,Yes,81.9,Distinction
462,5.1,95.9,5.0,74.3,76.1,Yes,68.9,Pass
463,3.6,82.4,6.2,77.8,72.2,Yes,60.9,Pass
464,5.4,88.5,5.5,79.7,46.4,No,58.7,Fail
465,4.8,78.9,5.8,78.3,78.0,No,73.5,Distinction
466,4.6,97.3,7.2,71.3,78.3,No,80.6,Distinction
467,6.2,71.9,8.5,67.0,53.6,No,57.7,Fail
468,6.5,100.0,7.0,67.7,65.6,Yes,68.8,Pass
469,3.9,79.5,5.1,67.1,75.2,No,57.1,Fail
470,3.8,62.8,7.0,87.0,61.9,No,53.0,Fail
471,4.4,81.5,7.9,78.9,81.1,No,70.6,Distinction
472,0.4,71.8,5.8,25.9,100.0,No,37.6,Fail
473,2.0,90.1,6.3,79.8,53.2,No,69.3,Pass
474,7.7,72.2,6.5,72.9,44.3,Yes,77.3,Distinction
475,8.3,74.6,5.6,69.7,69.6,No,74.8,Distinction
476,4.5,57.3,7.3,64.2,75.8,Yes,64.4,Pass
477,6.2,74.6,6.4,86.9,61.5,Yes,75.8,Distinction
478,5.6,50.9,7.0,84.2,86.8,Yes,60.8,Pass
479,10.0,61.0,5.4,58.4,44.9,Yes,66.7,Pass
480,7.2,89.1,6.0,76.1,75.4,No,75.9,Distinction
481,4.7,89.4,7.4,55.4,55.9,No,69.0,Pass
482,3.1,85.1,6.1,49.3,90.8,No,58.6,Fail
483,1.8,68.4,8.6,60.6,94.9,No,45.4,Fail
484,5.4,79.4,6.0,82.9,53.5,No,60.7,Pass
485,3.5,80.0,6.8,84.3,56.8,Yes,60.3,Fail
486,2.2,66.1,7.6,77.7,77.9,Yes,54.6,Fail
487,3.7,98.0,4.8,80.9,59.2,No,74.5,Distinction
488,2.8,90.5,4.4,77.7,64.3,No,48.8,Fail
489,8.4,77.3,4.7,60.4,65.4,No,74.4,Distinction
490,6.8,80.3,8.0,76.5,36.2,Yes,79.9,Distinction
491,5.0,82.5,5.8,82.0,64.8,Yes,79.2,Distinction
492,8.0,55.5,9.0,81.3,54.7,No,70.6,Distinction
493,5.2,77.0,5.8,87.8,57.6,Yes,68.0,Pass
494,3.3,71.8,6.7,80.6,86.7,Yes,63.7,Pass
495,8.0,68.0,8.4,75.3,46.2,No,74.7,Distinction
496,6.1,76.6,8.9,86.1,77.2,Yes,73.9,Distinction
497,2.9,100.0,9.0,69.6,60.8,No,67.8,Pass
498,4.6,87.7,8.0,56.8,60.8,Yes,49.4,Fail
499,3.2,73.1,7.7,67.6,76.9,Yes,62.9,Pass
500,2.2,86.9,7.2,58.8,70.1,Yes,56.8,Fail
11,4.1,83.2,8.1,52.9,40.9,No,59.9,Fail
